estação,data,duração,X,Y,Z,sigmaX,sigmaY,sigmaZ,IAR,correlXY,correlXZ,correlYZ
AMCR,187,120,2874244.4159,-5675803.2637,-451414.5180,0.0172,0.0202,0.0060,,-0.2232,0.1437,0.0063
AMCR,188,15,2874244.3281,-5675803.3209,-451414.5069,0.2571,0.3292,0.0959,,0.2644,-0.0059,-0.4270
AMCR,188,30,2874244.4094,-5675803.2410,-451414.5218,0.0967,0.1381,0.0351,,0.1066,0.0438,-0.4965
AMCR,188,45,2874244.4180,-5675803.2721,-451414.5111,0.0603,0.0826,0.0203,,-0.0766,0.1568,-0.5139
AMCR,188,60,2874244.4104,-5675803.2679,-451414.5095,0.0449,0.0557,0.0135,,-0.1950,0.2237,-0.4610
AMCR,188,120,2874244.4242,-5675803.2680,-451414.5133,0.0187,0.0200,0.0052,,-0.2384,0.0105,0.0084
AMCR,189,15,2874244.3178,-5675803.2017,-451414.5220,0.2544,0.2888,0.0877,,0.1692,0.0734,-0.4921
AMCR,189,30,2874244.4167,-5675803.1952,-451414.5278,0.0969,0.1319,0.0342,,-0.0438,0.1346,-0.5547
AMCR,189,45,2874244.3886,-5675803.2542,-451414.5166,0.0595,0.0796,0.0196,,-0.1972,0.2337,-0.5384
AMCR,189,60,2874244.4115,-5675803.2535,-451414.5177,0.0428,0.0523,0.0128,,-0.2496,0.2895,-0.4864
AMCR,189,120,2874244.4140,-5675803.2597,-451414.5159,0.0192,0.0200,0.0053,,-0.3807,0.2316,-0.0962
AMCR,190,15,2874244.4278,-5675803.1154,-451414.5449,0.3035,0.3037,0.0914,,0.1040,0.2520,-0.4599
AMCR,190,30,2874244.4631,-5675803.1908,-451414.5276,0.1238,0.1399,0.0356,,-0.0886,0.2885,-0.5423
AMCR,190,45,2874244.3923,-5675803.2838,-451414.5147,0.0762,0.0838,0.0202,,-0.1485,0.2886,-0.5497
AMCR,190,60,2874244.4193,-5675803.2517,-451414.5204,0.0524,0.0528,0.0131,,-0.1291,0.2327,-0.5152
AMCR,190,120,2874244.4178,-5675803.2684,-451414.5135,0.0191,0.0188,0.0054,,-0.1583,0.0048,-0.0248
AMCR,191,15,2874244.4717,-5675803.0042,-451414.5838,0.3213,0.3431,0.1095,,0.0305,0.1776,-0.5783
AMCR,191,30,2874244.4393,-5675803.2093,-451414.5331,0.1260,0.1521,0.0449,,-0.2457,0.3608,-0.6340
AMCR,191,45,2874244.4032,-5675803.2629,-451414.5279,0.0789,0.0858,0.0261,,-0.3243,0.4463,-0.6191
AMCR,191,60,2874244.4358,-5675803.2681,-451414.5254,0.0567,0.0536,0.0176,,-0.3185,0.4486,-0.5691
AMCR,191,120,2874244.4315,-5675803.2687,-451414.5268,0.0182,0.0183,0.0078,,-0.1708,0.0774,-0.0043
AMCR,192,15,2874244.4938,-5675802.9261,-451414.6089,0.2774,0.3629,0.1190,,0.0493,0.1607,-0.5740
AMCR,192,30,2874244.4076,-5675803.2973,-451414.5330,0.1119,0.1489,0.0468,,-0.1501,0.3097,-0.6058
AMCR,192,45,2874244.4205,-5675803.2781,-451414.5259,0.0723,0.0840,0.0270,,-0.2804,0.4282,-0.5768
AMCR,192,60,2874244.4402,-5675803.2709,-451414.5220,0.0514,0.0537,0.0182,,-0.2916,0.4586,-0.5061
AMCR,192,120,2874244.4143,-5675803.2630,-451414.5222,0.0176,0.0195,0.0080,,-0.1115,0.1414,0.0354
AMCR,193,15,2874244.5229,-5675803.0851,-451414.5293,0.3053,0.3594,0.0830,,0.2590,-0.0393,-0.4279
AMCR,193,30,2874244.3393,-5675803.3273,-451414.5124,0.1195,0.1494,0.0321,,0.1558,0.0145,-0.4300
AMCR,193,45,2874244.4291,-5675803.2663,-451414.5240,0.0737,0.0833,0.0188,,-0.0133,0.0817,-0.4055
AMCR,193,60,2874244.4232,-5675803.2676,-451414.5230,0.0521,0.0522,0.0128,,-0.1084,0.1463,-0.3519
AMCR,193,120,2874244.4079,-5675803.2565,-451414.5242,0.0222,0.0254,0.0055,,-0.5310,-0.0007,0.1085
AMCR,194,15,2874244.2825,-5675803.2308,-451414.4867,0.2905,0.3381,0.0945,,0.1001,-0.0857,-0.4174
AMCR,194,30,2874244.3288,-5675803.2299,-451414.5220,0.1144,0.1364,0.0365,,-0.0010,0.0526,-0.3943
AMCR,194,45,2874244.3919,-5675803.2101,-451414.5206,0.0722,0.0686,0.0210,,-0.0587,0.2103,-0.4098
AMCR,194,60,2874244.4166,-5675803.2088,-451414.5136,0.0520,0.0419,0.0142,,-0.0833,0.2857,-0.3325
AMCR,194,120,2874244.3695,-5675803.2003,-451414.5224,0.0245,0.0199,0.0059,,-0.5059,0.2434,-0.0620
AMCR,195,15,2874244.2766,-5675803.2901,-451414.5449,0.3198,0.3260,0.1075,,-0.0040,0.1532,-0.3870
AMCR,195,30,2874244.3779,-5675803.2598,-451414.5250,0.1256,0.1282,0.0393,,-0.1412,0.2439,-0.3282
AMCR,195,45,2874244.4015,-5675803.2492,-451414.5212,0.0737,0.0688,0.0221,,-0.1951,0.3043,-0.2693
